nome;anno;codice
Celano;2015;48561
Guilmi;2015;48572
Alento a San Leonardo;2015;48581
L'Aquila CF;2015;51088
Carpineto della Nora;2015;53415
Cepagatti - Villareia;2015;53420
Foro a Ponte di Vacri;2015;53429
Aterno Sagittario a allogg.idr;2015;53432
Tirino a Madonnina;2015;53435
Salle;2015;53437
Piomba a Silvi;2015;53439
Sangro a Villa Santa Maria;2015;53441
Sangro a Paglieta;2015;53443
Civitella Fortezza;2015;53470
Aventino a Selva di Altino;2015;53559
Sangro ad Ateleta;2015;53561
Zittola a Montenero;2015;53563
Aterno a Fagnano;2015;53565
Tasso a Scanno;2015;53569
Pescara a Alanno;2015;53571
